2832-40-8;CC(=O)Nc1ccc(N\N=C\2C=C(C)C=CC2=O)cc1;
87-29-6;Nc1ccccc1C(=O)OC\C=C\c2ccccc2;
2425-85-6;Cc1ccc(N\N=C2/C(=O)C=Cc3ccccc23)c(c1)[N+]([O-])=O;
97-56-3;Cc1ccccc1N=Nc2ccc(N)c(C)c2;
842-07-9;O=C\1C=Cc2ccccc2C1=N/Nc3ccccc3;
518-75-2;C[C@H]1OC=C2C(=O)C(=C(O)O)C(=O)C(=C2[C@@H]1C)C;
128-66-5;O=C1c2ccccc2c3ccc4C(=O)c5ccccc5c6ccc1c3c46;
637-07-0;CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1;
10026-24-1;O.O.O.O.O.O.O.[Co++].[O-][S]([O-])(=O)=O;
91-64-5;O=C1Oc2ccccc2C=C1;
102-50-1;COc1ccc(N)c(C)c1;
120-71-8;COc1ccc(C)cc1N;
123-73-9;C/C=C/C=O;
135-20-6;N.ON(N=O)c1ccccc1;
27208-37-3;c1cc2ccc3ccc4C=Cc5cc(c1)c2c3c45;
6055-19-2;O.ClCCN(CCCl)[P]1(=O)NCCCO1;
59865-13-3;CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C;
21739-91-3;[Na+].COc1ccc(cc1)C(=O)\C(Br)=C/C([O-])=O;
01/02/5160;None;
8003-22-3;O=C1C(c2ccc3ccccc3n2)C(=O)c4ccccc14;
72-54-8;ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2;
72-55-9;Clc1ccc(cc1)C(=C(Cl)Cl)c2ccc(Cl)cc2;
50-29-3;Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl;
04/03/4342;None;
1596-84-5;CN(C)NC(=O)CCC(O)=O;
117-10-2;Oc1cccc2C(=O)c3cccc(O)c3C(=O)c12;
80-08-0;Nc1ccc(cc1)[S](=O)(=O)c2ccc(N)cc2;
1163-19-5;Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br;
53-43-0;C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O;
2303-16-4;CC(C)N(C(C)C)C(=O)SC\C(Cl)=C\Cl;
16338-97-9;C=CCN(CC=C)N=O;
39156-41-7;COc1ccc(N)cc1N.O[S](O)(=O)=O;
720-69-4;Nc1nc(N)nc(n1)c2oc(cc2)[N+]([O-])=O;
137-09-7;[H+].[H+].[Cl-].[Cl-].Nc1ccc(O)c(N)c1;
95-80-7;Cc1ccc(N)cc1N;
636-23-7;[H+].[H+].[Cl-].[Cl-].Cc1ccc(N)cc1N;
439-14-5;CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13;
53-70-3;c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23;
96-12-8;ClCC(Br)CBr;
10318-26-0;OC(CBr)C(O)C(O)C(O)CBr;
106-93-4;BrCCBr;
488-41-5;OC(CBr)C(O)C(O)C(O)CBr;
56654-52-5;CCCCNC(=O)N(CCCC)N=O;
79-43-6;OC(=O)C(Cl)Cl;
