54;16582-59-5;n1c(N)sc2cc(cc(c12)Cl)Cl;0;TS;0,45;non-mutagenic;0,17;non-mutagenic;0,67;mutagenic;mutagenic;;0,825;0,825;1;0,679;True;1;mutagenic;SA28 Primary aromatic amine, hydroxyl amine and its derived esters (with restrictions);0,633;0,792;1;0,491;0,85;non-mutagenic;0;2;"SM183; SM201";0,515;0,825;0,321;0,321;1;non-mutagenic;4;0,756;0,893;0,534;0,767;1;mutagenic;non-mutagenic;non-mutagenic
56;2525-62-4;O=C=NCCCCCC;0;TS;-0,07;non-mutagenic;-0,16;non-mutagenic;;;mutagenic;;0;0,832;1;0;True;0,85;mutagenic;SA15 Isocyanate and isothiocyanate groups;0;0,828;1;0;0,85;non-mutagenic;0;0;;0,776;0,832;1;1;0,85;non-mutagenic;4;0,919;0,845;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
57;6407-36-9;N(=C(C)C)C1CCCCC1;0;TS;-0,03;non-mutagenic;0;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,904;0,818;1;1;True;1;non-mutagenic;;0,895;0,8;1;1;1;non-mutagenic;0;0;;0,904;0,818;1;1;1;non-mutagenic;4;0,915;0,837;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
58;28770-01-6;OCCN1CCOC1C(C)C;0;TS;0,16;non-mutagenic;-0,05;non-mutagenic;0,67;mutagenic;mutagenic;;0;0,827;0,666;0;True;1;non-mutagenic;;0,751;0,791;1;0,508;1;mutagenic;2;2;"SM94; SM98; SM155; SM176";0;0,827;0,666;0;1;non-mutagenic;4;0,712;0,821;0,504;0,756;1;non-mutagenic;non-mutagenic;non-mutagenic
59;94726-87-1;O=C1N(N=C(OCC)C1)c2ccc(cc2)S(=O)(=O)O;0;TS;0,78;mutagenic;0,3;non-mutagenic;0,33;non-mutagenic;mutagenic;;0;0,806;0,665;0;True;0,6;non-mutagenic;;0,447;0,786;0,5;1;0,6;mutagenic;2;1;"SM87; SM103; SM168";0;0,806;0,665;0;0,6;non-mutagenic;4;0,778;0,805;0,751;0,751;1;non-mutagenic;non-mutagenic;non-mutagenic
61;40449-96-5;O=C(O)c1ccc(cc1)NC(=O)Oc3c2C(=O)OCc2c(c(OC)c3CC=C(C)CCC(=O)OCC)C;0;TS;0,09;non-mutagenic;-0,1;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,894;0,8;1;1;True;1;mutagenic;SA38 Alkenylbenzenes;0,738;0,765;1;0,507;1;mutagenic;2;3;"SM98; SM104; SM170; SM178; SM189";0;0,8;1;0;1;non-mutagenic;4;0,748;0,789;1;0,504;1;non-mutagenic;non-mutagenic;non-mutagenic
62;65753-47-1;FC(F)(F)c1cccnc1Cl;0;TS;-0,28;non-mutagenic;0,04;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,745;0,842;0,658;0,658;True;1;non-mutagenic;;0;0,763;1;0;0,85;non-mutagenic;0;0;;0,827;0,842;1;0,658;1;non-mutagenic;4;0,788;0,838;0,742;0,742;1;non-mutagenic;non-mutagenic;non-mutagenic
64;55304-75-1;FC(F)(F)c1ccc(nc1Cl)Cl;0;TS;-0,42;non-mutagenic;0,15;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,732;0,817;0,655;0,655;True;1;non-mutagenic;;0,623;0,752;1;0,511;0,85;non-mutagenic;0;0;;0,813;0,817;1;0,655;1;non-mutagenic;4;0,775;0,813;0,74;0,74;1;non-mutagenic;non-mutagenic;non-mutagenic
66;76486-41-4;O=C1N(C(=O)N(C(=O)N1CCCSC(=O)C)CCCSC(=O)C)CCCSC(=O)C;0;TS;;;0,16;non-mutagenic;;;mutagenic;;0,363;0,763;0,662;0,347;True;0,6;non-mutagenic;;0;0,678;0,499;0;0,6;non-mutagenic;0;1;SM156;0,471;0,763;1;0,653;0,6;non-mutagenic;4;0,407;0,746;0,506;0,75;0,6;non-mutagenic;non-mutagenic;non-mutagenic
67;78366-85-5;O=C1N(C(=O)N(C(=O)N1CCCS)CCCS)CCCS;0;TS;;;-0,22;non-mutagenic;0;non-mutagenic;mutagenic;;0,622;0,817;0,666;0,336;True;1;non-mutagenic;;0,507;0,708;0,502;0,502;0,85;non-mutagenic;0;1;SM156;0,816;0,817;1;0,664;1;non-mutagenic;4;0,779;0,808;0,752;0,752;1;non-mutagenic;non-mutagenic;non-mutagenic
68;3796-23-4;FC(F)(F)c1cnccc1;0;TS;-0,13;non-mutagenic;0,12;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,909;0,827;1;1;True;1;non-mutagenic;;0;0,791;1;0;0,85;non-mutagenic;0;0;;0,909;0,827;1;1;1;non-mutagenic;4;0,909;0,825;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
69;69045-85-8;FC(F)(F)c2cnc(Oc1ccc(O)cc1)cc2;0;TS;0,11;non-mutagenic;0,57;mutagenic;0;non-mutagenic;non-mutagenic;;0,891;0,795;1;1;True;1;non-mutagenic;;0,626;0,766;1;0,5;0,85;non-mutagenic;0;0;;0,891;0,795;1;1;1;non-mutagenic;4;0,769;0,79;0,742;0,756;1;non-mutagenic;non-mutagenic;non-mutagenic
70;69335-91-7;O=C(O)C(Oc2ccc(Oc1ncc(cc1)C(F)(F)F)cc2)C;0;TS;0,11;non-mutagenic;-0,22;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,892;0,795;1;1;True;1;non-mutagenic;;0,614;0,738;1;0,5;0,85;non-mutagenic;0;0;;0,892;0,795;1;1;1;non-mutagenic;4;0,827;0,792;0,745;1;1;non-mutagenic;non-mutagenic;non-mutagenic
71;69806-50-4;O=C(OCCCC)C(Oc2ccc(Oc1ncc(cc1)C(F)(F)F)cc2)C;0;TS;0,15;non-mutagenic;0,2;non-mutagenic;0,33;non-mutagenic;non-mutagenic;;0,885;0,783;1;1;True;1;non-mutagenic;;0,734;0,745;1;1;0,85;non-mutagenic;0;1;SM188;0,885;0,783;1;1;1;non-mutagenic;4;0,822;0,781;0,75;1;1;non-mutagenic;non-mutagenic;non-mutagenic
72;27344-06-5;O=C(N)CCN(c1nc(nc(n1)Nc5ccc(C=Cc2ccc(cc2S(=O)(=O)O)Nc3nc(nc(n3)N(CCO)CCC(=O)N)Nc4ccccc4)c(c5)S(=O)(=O)O)Nc6ccccc6)CCO;0;TS;0,22;non-mutagenic;0,24;non-mutagenic;0,67;mutagenic;non-mutagenic;;0,703;0,789;1;0,393;True;1;non-mutagenic;;0,724;0,739;1;0,502;1;mutagenic;2;2;"SM44; SM104; SM120; SM205";0,692;0,789;0,607;0,607;1;mutagenic;4;0,858;0,736;1;1;1;non-mutagenic;mutagenic;non-mutagenic
